team_id,avg_TO_pct,avg_OREB_pct,avg_FTr,games,TO_pct_percentile,OREB_pct_percentile,FTr_percentile,TO_label,OREB_label,FTr_label,archetype
1610612737,18.33,23.42,35.17,35,40.0,36.67,6.67,Med,Med,Low,Med_TO/Med_OREB/Low_FTr
1610612738,16.1,27.36,32.17,32,3.33,83.33,3.33,Low,High,Low,Low_TO/High_OREB/Low_FTr
1610612739,17.09,23.69,36.82,35,20.0,40.0,20.0,Low,Med,Low,Low_TO/Med_OREB/Low_FTr
1610612740,18.58,23.96,45.83,35,50.0,46.67,76.67,Med,Med,High,Med_TO/Med_OREB/High_FTr
1610612741,19.68,20.88,42.73,33,63.33,6.67,53.33,Med,Low,Med,Med_TO/Low_OREB/Med_FTr
1610612742,20.07,22.24,46.0,34,80.0,23.33,80.0,High,Low,High,High_TO/Low_OREB/High_FTr
1610612743,16.85,26.41,41.99,33,10.0,80.0,43.33,Low,High,Med,Low_TO/High_OREB/Med_FTr
1610612744,22.12,22.42,44.77,34,100.0,30.0,63.33,High,Low,Med,High_TO/Low_OREB/Med_FTr
1610612745,20.01,36.28,39.92,30,76.67,100.0,33.33,High,High,Med,High_TO/High_OREB/Med_FTr
1610612746,19.73,24.05,42.46,32,66.67,50.0,50.0,High,Med,Med,High_TO/Med_OREB/Med_FTr
1610612747,18.5,24.24,44.68,31,46.67,66.67,60.0,Med,High,Med,Med_TO/High_OREB/Med_FTr
1610612748,18.09,22.71,43.66,33,30.0,33.33,56.67,Low,Med,Med,Low_TO/Med_OREB/Med_FTr
1610612749,20.08,19.09,38.17,34,83.33,3.33,23.33,High,Low,Low,High_TO/Low_OREB/Low_FTr
1610612750,18.2,27.7,45.19,34,33.33,86.67,70.0,Med,High,High,Med_TO/High_OREB/High_FTr
1610612751,21.59,23.77,46.38,30,96.67,43.33,93.33,High,Med,High,High_TO/Med_OREB/High_FTr
1610612752,16.6,29.89,36.1,33,6.67,90.0,13.33,Low,High,Low,Low_TO/High_OREB/Low_FTr
1610612753,16.87,24.12,46.3,34,13.33,56.67,90.0,Low,Med,High,Low_TO/Med_OREB/High_FTr
1610612754,18.22,21.19,46.14,34,36.67,10.0,83.33,Med,Low,High,Med_TO/Low_OREB/High_FTr
1610612755,17.29,24.19,40.21,31,23.33,63.33,40.0,Low,Med,Med,Low_TO/Med_OREB/Med_FTr
1610612756,19.65,24.15,35.57,33,60.0,60.0,10.0,Med,Med,Low,Med_TO/Med_OREB/Low_FTr
1610612757,21.25,32.83,44.91,34,93.33,96.67,66.67,High,High,High,High_TO/High_OREB/High_FTr
1610612758,19.17,21.92,40.04,33,53.33,16.67,36.67,Med,Low,Med,Med_TO/Low_OREB/Med_FTr
1610612759,18.37,22.18,46.21,33,43.33,20.0,86.67,Med,Low,High,Med_TO/Low_OREB/High_FTr
1610612760,17.0,24.09,42.21,34,16.67,53.33,46.67,Low,Med,Med,Low_TO/Med_OREB/Med_FTr
1610612761,17.92,25.06,36.11,35,26.67,73.33,16.67,Low,High,Low,Low_TO/High_OREB/Low_FTr
1610612762,19.96,25.81,47.99,32,70.0,76.67,96.67,High,High,High,High_TO/High_OREB/High_FTr
1610612763,20.16,22.37,45.5,33,86.67,26.67,73.33,High,Low,High,High_TO/Low_OREB/High_FTr
1610612764,20.23,21.27,39.88,32,90.0,13.33,30.0,High,Low,Low,High_TO/Low_OREB/Low_FTr
1610612765,19.98,30.41,48.64,33,73.33,93.33,100.0,High,High,High,High_TO/High_OREB/High_FTr
1610612766,19.18,24.48,38.23,33,56.67,70.0,26.67,Med,High,Low,Med_TO/High_OREB/Low_FTr
